T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1995,GDP in current prices (millions of US dollars),"31,300,091",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
1,"Total, all countries or areas",2005,GDP in current prices (millions of US dollars),"47,928,472",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
1,"Total, all countries or areas",2010,GDP in current prices (millions of US dollars),"66,806,397",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
1,"Total, all countries or areas",2015,GDP in current prices (millions of US dollars),"75,630,164",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
1,"Total, all countries or areas",2020,GDP in current prices (millions of US dollars),"85,789,779",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
1,"Total, all countries or areas",2022,GDP in current prices (millions of US dollars),"101,629,391",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
1,"Total, all countries or areas",2023,GDP in current prices (millions of US dollars),"105,943,460",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
1,"Total, all countries or areas",1995,GDP per capita (US dollars),"5,437",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
1,"Total, all countries or areas",2005,GDP per capita (US dollars),"7,279",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
1,"Total, all countries or areas",2010,GDP per capita (US dollars),"9,517",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
1,"Total, all countries or areas",2015,GDP per capita (US dollars),"10,127",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
1,"Total, all countries or areas",2020,GDP per capita (US dollars),"10,881",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
1,"Total, all countries or areas",2022,GDP per capita (US dollars),"12,674",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
1,"Total, all countries or areas",2023,GDP per capita (US dollars),"13,097",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
1,"Total, all countries or areas",1995,GDP in constant 2015 prices (millions of US dollars),"40,346,956",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
1,"Total, all countries or areas",2005,GDP in constant 2015 prices (millions of US dollars),"56,622,828",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
